form,exp,type,geozone,date,stemp,btemp,btime,start,visib,maxdepth,current,habitat,species,abundance,year,as_as_date,quarter_year,lat,lon,lat2,lon2,state,semester,abundance2,maxsst30,maxsst60,maxsst90,maxsst180,maxsst360,maxanom30,maxanom60,maxanom90,maxanom180,maxanom360,maxsst30_days,maxsst60_days,maxsst90_days,maxsst180_days,maxsst360_days,maxanom30_days,maxanom60_days,maxanom90_days,maxanom180_days,maxanom360_days
5113523,N,2,13350001,6/23/16,0,50,77,19,4,10,3,11,173,2,2016,6/23/16,Q2.2016,49 18.835,-124 14.497,49.18835,-124.14497,BC,1.2016,2,18.12,18.12,18.12,18.12,20.12,4.05,4.05,4.05,4.05,4.35,16,16,16,16,327,17,17,17,17,359
5107481,N,2,13350001,1/10/16,0,45,60,10,3,6,3,11,173,2,2016,1/10/16,Q1.2016,49 18.835,-124 14.497,49.18835,-124.14497,BC,1.2016,2,9.18,10.34,12.75,20.12,20.12,1.45,1.62,1.75,3.93,5.30,29,59,82,162,162,29,32,82,162,225
5034193,N,2,12090802,5/28/10,10,10,37,14,2,3,3,11,173,3,2010,5/28/10,Q2.2010,48 50.07,-125 08.08,48.50070,-125.08080,BC,1.201,11,11.14,11.14,11.14,11.14,15.63,0.24,0.24,0.82,1.95,2.79,19,19,19,19,271,19,19,82,133,271
50508,N,2,22190002,3/11/06,51,48,39,13,1,7,2,2,173,3,2006,3/11/06,Q1.2006,48 35.473,-122 40.993,48.35473,-122.40993,WA,1.2006,11,8.05,8.22,8.22,13.32,14.99,0.82,0.94,0.94,1.35,2.55,28,35,35,178,209,28,35,35,178,209
5045686,N,2,27020107,4/30/11,56,0,30,15,2,3,2,1,173,0,2011,4/30/11,Q2.2011,48 08.413,-123 37.813,48.08413,-123.37813,WA,1.2011,0,8.62,8.62,8.62,10.43,12.09,-0.50,-0.21,0.09,1.03,1.03,0,0,0,177,268,29,39,75,175,175
5108152,N,2,13350006,2/7/16,0,46,79,10,3,7,3,11,173,2,2016,2/7/16,Q1.2016,49 18.780,-124 14.600,49.18780,-124.14600,BC,1.2016,2,8.04,9.41,10.70,19.41,20.12,1.28,1.59,1.62,3.04,5.30,10,59,88,177,190,10,59,60,177,253
5121437,E,2,13350006,12/30/16,48,46,52,15,2,6,2,11,173,2,2016,12/30/16,Q4.2016,49 18.780,-124 14.600,49.18780,-124.14600,BC,2.2016,2,9.28,11.30,13.68,21.65,21.65,1.08,1.88,1.88,5.53,5.53,29,51,89,157,157,28,51,51,157,157
5034187,N,2,12090802,5/28/10,0,51,34,11,2,5,2,2,173,3,2010,5/28/10,Q2.2010,48 50.07,-125 08.08,48.50070,-125.08080,BC,1.201,11,11.14,11.14,11.14,11.14,15.63,0.24,0.24,0.82,1.95,2.79,19,19,19,19,271,19,19,82,133,271
55061,E,2,22190008,9/8/07,0,50,44,14,2,9,2,2,173,2,2007,9/8/07,Q3.2007,48 35.581,-122 40.543,48.35581,-122.40543,WA,2.2007,2,14.15,14.48,14.48,14.48,14.48,1.72,2.15,2.15,2.15,2.16,23,42,42,42,42,23,42,42,42,346
60704,N,2,41080102,7/5/07,0,49,34,11,1,3,2,2,173,2,2007,7/5/07,Q3.2007,38 33.95,-123 19.75,38.33950,-123.19750,CA,2.2007,2,10.64,11.27,11.27,11.44,14.46,NaN,NaN,NaN,NaN,NaN,2,30,30,144,329,29,59,89,179,359
5117965,E,2,13340007,10/2/16,0,54,77,13,3,8,3,2,173,3,2016,10/2/16,Q4.2016,49 18.105,-124 10.199,49.18105,-124.10199,BC,2.2016,11,16.18,18.78,21.65,21.65,21.65,1.46,2.52,5.53,5.53,5.53,27,51,68,68,68,16,36,68,68,68
50043,N,2,22190001,3/11/06,44,44,44,12,2,7,3,2,173,2,2006,3/11/06,Q1.2006,48 33.738,-122 44.080,48.33738,-122.44080,WA,1.2006,2,8.05,8.22,8.22,13.32,14.99,0.82,0.94,0.94,1.35,2.55,28,35,35,178,209,28,35,35,178,209
5052947,N,2,13590101,11/2/11,0,0,63,16,5,9,3,2,173,3,2011,11/2/11,Q4.2011,49 33.80,-123 46.45,49.33800,-123.46450,BC,2.2011,11,12.47,17.41,19.15,19.15,19.15,0.40,2.59,3.20,3.20,3.20,29,54,73,73,73,22,54,65,65,65
5056242,N,2,42070217,3/10/12,0,52,43,13,2,11,2,2,173,0,2012,3/10/12,Q1.2012,32 40.949,-117 16.253,32.40949,-117.16253,CA,1.2012,0,14.99,14.99,15.12,18.88,20.84,0.19,0.19,0.19,0.19,1.75,26,26,89,169,248,26,26,26,26,248
56947,N,2,22100011,7/29/06,0,51,36,13,2,8,2,12,173,2,2006,7/29/06,Q3.2006,48 35.468,-122 55.720,48.35468,-122.55720,WA,2.2006,2,12.80,12.80,12.80,12.80,14.65,NaN,NaN,NaN,NaN,NaN,28,28,28,28,349,29,59,89,179,359
5056212,N,2,42070201,3/11/12,60,49,30,10,2,9,2,8,173,0,2012,3/11/12,Q1.2012,32 41.588,-117 16.196,32.41588,-117.16196,CA,1.2012,0,14.99,14.99,14.99,18.88,20.84,0.19,0.19,0.19,0.19,1.75,27,27,27,170,249,27,27,27,27,249
5034285,N,2,41140516,6/2/10,51,49,35,9,3,11,2,8,173,1,2010,6/2/10,Q2.2010,36 32.603,-121 56.368,36.32603,-121.56368,CA,1.201,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5107825,N,2,13340004,1/24/16,0,46,67,14,3,6,3,2,173,1,2016,1/24/16,Q1.2016,49 17.42,-124 08.45,49.17420,-124.08450,BC,1.2016,1,7.86,9.48,12.04,20.12,20.12,1.10,1.62,1.64,3.93,5.30,2,46,89,176,176,2,46,85,176,239
5106290,N,2,13340003,12/6/15,0,0,70,10,3,6,3,2,173,0,2015,12/6/15,Q4.2015,49 17.50,-124 09.30,49.17500,-124.09300,BC,2.2015,0,10.83,13.55,16.21,20.12,20.12,1.44,1.75,1.75,4.35,5.30,29,59,85,127,127,25,47,47,159,190
5108258,N,2,22110009,2/13/16,0,45,51,9,2,5,2,2,173,0,2016,2/13/16,Q1.2016,48 32.819,-122 57.055,48.32819,-122.57055,WA,1.2016,0,8.48,8.59,9.75,14.60,14.97,NaN,NaN,NaN,NaN,NaN,16,58,87,174,197,29,59,89,179,359
5023755,N,2,41150106,5/30/09,55,52,35,10,2,10,1,8,173,0,2009,5/30/09,Q2.2009,36 29.34,-121 57.26,36.29340,-121.57260,CA,1.2009,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
