number,population_name,n,ASIP,OCA2,TYR,MATP,SLC24A5
1,Biaka_pygmies,64,0.56,0.35,0.02,0.03,0.03
2,Mbuti_pygmies,30,0.8,0.08,0.00,0.00,0.00
3,Mandenka,48,0.2,0.23,0.04,0.00,0.23
4,Yoruba,50,0.21,0.17,0.00,0.00,0.1
5,Bantu_NE,24,0.29,0.09,0.00,0.00,0.00
6,San,14,0.14,0.93,0.00,0.00,0.07
7,Bantu_SE,10,0.2,0.00,0.00,0.00,0.00
8,Bantu_SW,6,0.5,0.00,0.00,0.00,0.17
9,Mozabite,60,0.72,0.65,0.47,0.4,0.87
10,Bedouin,96,0.77,0.7,0.22,0.23,0.97
11,Druze,94,0.89,0.73,0.48,0.51,1
12,Palestinian,102,0.83,0.76,0.37,0.58,0.99
13,Brahui,50,0.73,0.42,0.18,0.22,1
14,Balochi,50,0.84,0.4,0.2,0.18,0.98
15,Hazara,48,0.93,0.65,0.17,0.06,0.61
16,Makrani,50,0.87,0.4,0.14,0.14,0.92
17,Sindhi,50,0.76,0.5,0.24,0.14,0.83
18,Pathan,48,0.83,0.5,0.27,0.28,0.96
19,Kalesh,50,0.95,0.42,0.5,0.58,1
20,Burusho,50,0.85,0.42,0.12,0.36,0.98
21,Han,88,0.83,0.41,0.01,0.01,0.01
22,Tujia,20,0.83,0.5,0.00,0.00,0.00
23,Yizu,20,0.88,0.6,0.00,0.00,0.00
24,Miaozu,20,0.92,0.25,0.00,0.00,0.00
25,Orogen,20,0.95,0.72,0.00,0.00,0.15
26,Daur,20,0.9,0.75,0.05,0.00,0.1
27,Mongola,20,0.86,0.5,0.05,0.1,0.15
28,Hezhen,18,0.94,0.44,0.00,0.1,0.00
29,Xibo,18,0.88,0.5,0.00,0.00,0.19
30,Uygur,20,0.71,0.5,0.2,0.25,0.5
31,Dai,20,0.71,0.3,0.00,0.00,0.00
32,Lahu,20,0.85,0.45,0.00,0.00,0.00
33,She,20,0.8,0.6,0.00,0.00,0.00
34,Naxi,20,0.61,0.56,0.00,0.00,0.00
35,Tu,20,0.67,0.5,0.00,0.00,0.05
36,Yakut,50,0.98,0.8,0.06,0.1,0.24
37,Japanese,58,0.72,0.13,0.00,0.00,0.00
38,Cambodian,22,0.64,0.00,0.00,0.00,0.09
39,Papuan,34,1,0.00,0.00,0.00,0.00
40,NAN_Melanesian,38,0.92,0.03,0.00,0.00,0.00
41,French,58,0.93,0.91,0.33,0.91,1
42,French_Basque,48,0.89,0.63,0.4,0.94,1
43,Sardinian,56,0.91,0.73,0.54,0.68,0.98
44,Northern_Italian,48,0.93,0.82,0.46,0.96,1
45,Tuscan,16,0.94,0.63,0.56,0.94,1
46,Orcadian,32,0.81,0.72,0.31,1,1
47,Adygei,34,0.84,0.68,0.32,0.68,1
48,Russian,50,0.85,0.78,0.22,0.92,1
49,Pima,50,1,0.18,0.00,0.02,0.00
50,Maya,50,0.96,0.34,0.04,0.12,0.12
51,Columbian,26,1,0.31,0.00,0.00,0.00
52,Karitiana,48,1,0.13,0.00,0.00,0.00
53,Surui,42,1,0.19,0.00,0.00,0.00
,,,,,,,
,,,,,,,
