Site,Date,Month,Transect,healthy,sick,count,prev,trans,diseased,species
Bell Island,5/8/14,May,1,3,0,3,0,1,0,pycn
Bell Island,5/8/14,May,1,3,0,3,0,1,0,pycn
Bell Island,5/8/14,May,1,3,0,3,0,1,0,pycn
Bell Island,5/8/14,May,2,5,0,5,0,2,0,pycn
Bell Island,5/8/14,May,2,5,0,5,0,2,0,pycn
Bell Island,5/8/14,May,2,5,0,5,0,2,0,pycn
Bell Island,5/8/14,May,2,5,0,5,0,2,0,pycn
Bell Island,5/8/14,May,2,5,0,5,0,2,0,pycn
Bell Island,5/8/14,May,3,6,0,6,0,3,0,pycn
Bell Island,5/8/14,May,3,6,0,6,0,3,0,pycn
Bell Island,5/8/14,May,3,6,0,6,0,3,0,pycn
Bell Island,5/8/14,May,3,6,0,6,0,3,0,pycn
Bell Island,5/8/14,May,3,6,0,6,0,3,0,pycn
Bell Island,5/8/14,May,3,6,0,6,0,3,0,pycn
Bell Island,5/8/14,May,4,3,0,3,0,4,0,pycn
Bell Island,5/8/14,May,4,3,0,3,0,4,0,pycn
Bell Island,5/8/14,May,4,3,0,3,0,4,0,pycn
Bell Island,6/5/14,June,1,3,0,3,0,5,0,pycn
Bell Island,6/5/14,June,1,3,0,3,0,5,0,pycn
Bell Island,6/5/14,June,1,3,0,3,0,5,0,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,0,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,0,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,0,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,0,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,0,pycn
Bell Island,7/3/14,July,2,1,1,2,50,9,0,pycn
FHL Dock,5/8/14,May,1,1,1,2,50,12,0,pycn
FHL Dock,5/8/14,May,2,1,0,1,0,13,0,pycn
FHL Dock,5/8/14,May,3,2,1,3,33.33333333,14,0,pycn
FHL Dock,5/8/14,May,3,2,1,3,33.33333333,14,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,0,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,0,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,9,0,9,0,19,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,15,0,15,0,20,0,pycn
Reuben Tarte,6/5/14,June,3,1,0,1,0,21,0,pycn
Reuben Tarte,7/5/14,July,1,1,0,1,0,22,0,pycn
Reuben Tarte,7/5/14,July,2,3,1,4,25,23,0,pycn
Reuben Tarte,7/5/14,July,2,3,1,4,25,23,0,pycn
Reuben Tarte,7/5/14,July,2,3,1,4,25,23,0,pycn
Reuben Tarte,7/5/14,July,3,2,3,5,60,24,0,pycn
Reuben Tarte,7/5/14,July,3,2,3,5,60,24,0,pycn
Rosario,5/7/14,May,1,8,0,8,0,29,0,pycn
Rosario,5/7/14,May,1,8,0,8,0,29,0,pycn
Rosario,5/7/14,May,1,8,0,8,0,29,0,pycn
Rosario,5/7/14,May,1,8,0,8,0,29,0,pycn
Rosario,5/7/14,May,1,8,0,8,0,29,0,pycn
Rosario,5/7/14,May,1,8,0,8,0,29,0,pycn
Rosario,5/7/14,May,1,8,0,8,0,29,0,pycn
Rosario,5/7/14,May,1,8,0,8,0,29,0,pycn
Rosario,5/7/14,May,2,8,0,8,0,30,0,pycn
Rosario,5/7/14,May,2,8,0,8,0,30,0,pycn
Rosario,5/7/14,May,2,8,0,8,0,30,0,pycn
Rosario,5/7/14,May,2,8,0,8,0,30,0,pycn
Rosario,5/7/14,May,2,8,0,8,0,30,0,pycn
Rosario,5/7/14,May,2,8,0,8,0,30,0,pycn
Rosario,5/7/14,May,2,8,0,8,0,30,0,pycn
Rosario,5/7/14,May,2,8,0,8,0,30,0,pycn
Rosario,5/7/14,May,3,1,0,1,0,31,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,5/7/14,May,4,10,0,10,0,32,0,pycn
Rosario,6/6/14,June,1,5,1,6,16.66666667,33,0,pycn
Rosario,6/6/14,June,1,5,1,6,16.66666667,33,0,pycn
Rosario,6/6/14,June,1,5,1,6,16.66666667,33,0,pycn
Rosario,6/6/14,June,1,5,1,6,16.66666667,33,0,pycn
Rosario,6/6/14,June,1,5,1,6,16.66666667,33,0,pycn
Rosario,6/6/14,June,2,7,0,7,0,34,0,pycn
Rosario,6/6/14,June,2,7,0,7,0,34,0,pycn
Rosario,6/6/14,June,2,7,0,7,0,34,0,pycn
Rosario,6/6/14,June,2,7,0,7,0,34,0,pycn
Rosario,6/6/14,June,2,7,0,7,0,34,0,pycn
Rosario,6/6/14,June,2,7,0,7,0,34,0,pycn
Rosario,6/6/14,June,2,7,0,7,0,34,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,6/6/14,June,3,17,0,17,0,35,0,pycn
Rosario,7/6/14,July,3,2,4,6,66.66666667,38,0,pycn
Rosario,7/6/14,July,3,2,4,6,66.66666667,38,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,0,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,0,pycn
